,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,1.0,0.9979879275653923,1.0
recall,0.23976608187134502,0.3219452139119729,0.15266235764850725,0.24038165589412128
f1,0.3867924528301887,0.4870779976717112,0.26481580352375866,0.38759305210918116
accuracy,0.6198830409356725,0.6609726069559865,0.5761772853185596,0.6201908279470606
specificity,1.0,1.0,0.9996922129886119,1.0
sensitivity,0.23976608187134502,0.3219452139119729,0.15266235764850725,0.24038165589412128
avg_detection_time,3.3811555711553073e-05,7.94257483654075e-05,0.10023920585207295,0.10041971285917753
true_negatives,3249.0,3249.0,3248.0,3249.0
false_positives,0.0,0.0,1.0,0.0
false_negatives,2470.0,2203.0,2753.0,2468.0
true_positives,779.0,1046.0,496.0,781.0
