metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.89757,0.75146,0.823985,0.921725
avg_detection_time,6.601916909217835e-05,3.1542065143585205e-05,3.469288349151611e-05,0.00014570785164833068
f1,0.88588076695968,0.6692571793575174,0.7863856744965019,0.915077707559196
false_negatives,20486,49708,35203,15655
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.79514,0.50292,0.64797,0.84345
sensitivity,0.79514,0.50292,0.64797,0.84345
specificity,1.0,1.0,1.0,1.0
true_negatives,100000,100000,100000,100000
true_positives,79514,50292,64797,84345
