metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6345,0.525,0.5715,0.6488333333333334
avg_detection_time,7.889870802561442e-05,4.005932807922363e-05,4.2897462844848636e-05,0.00015675572554270427
f1,0.4239558707643814,0.09523809523809523,0.2502187226596675,0.4587721551502697
false_negatives,2193,2850,2571,2107
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.269,0.05,0.143,0.2976666666666667
sensitivity,0.269,0.05,0.143,0.2976666666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,807,150,429,893
