metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8710583333333334,0.75225,0.841075,0.92325
avg_detection_time,6.653129061063131e-05,3.323901295661926e-05,3.3889806270599364e-05,0.0001772463540236155
f1,0.8519712610139007,0.6706547025589896,0.8110453883423001,0.9168697535878689
false_negatives,15473,29730,19071,9210
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.7421166666666666,0.5045,0.68215,0.8465
sensitivity,0.7421166666666666,0.5045,0.68215,0.8465
specificity,1.0,1.0,1.0,1.0
true_negatives,60000,60000,60000,60000
true_positives,44527,30270,40929,50790
