metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8991166666666667,0.75225,0.825025,0.8740583333333334
avg_detection_time,6.700332164764405e-05,3.300941586494446e-05,3.290039300918579e-05,0.00018045486013094583
f1,0.8877972825180269,0.6706547025589896,0.7879155177115845,0.8559116001029679
false_negatives,12106,29730,20997,15113
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.7982333333333334,0.5045,0.65005,0.7481166666666667
sensitivity,0.7982333333333334,0.5045,0.65005,0.7481166666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,60000,60000,60000,60000
true_positives,47894,30270,39003,44887
