metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.86625,0.74325,0.83725,0.916
avg_detection_time,8.477503061294556e-05,3.8583993911743164e-05,5.306941270828247e-05,0.00014239662885665892
f1,0.8455988455988457,0.6545576858392197,0.8056136160047774,0.9082969432314411
false_negatives,535,1027,651,336
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.7325,0.4865,0.6745,0.832
sensitivity,0.7325,0.4865,0.6745,0.832
specificity,1.0,1.0,1.0,1.0
true_negatives,2000,2000,2000,2000
true_positives,1465,973,1349,1664
