,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,0.9266877854116098,0.9264244426094137,1.0,0.9334627735045926
recall,0.901,0.89752,1.0,1.0
f1,0.9136633743687509,0.9117431938236489,1.0,0.9655864972384226
accuracy,0.91486,0.91312,1.0,0.96436
specificity,0.92872,0.92872,1.0,0.92872
sensitivity,0.901,0.89752,1.0,1.0
avg_detection_time,0.0001036256980895996,6.645534992218018e-05,0.0002481280326843262,0.0004811128616333008
true_negatives,23218.0,23218.0,25000.0,23218.0
false_positives,1782.0,1782.0,0.0,1782.0
false_negatives,2475.0,2562.0,0.0,0.0
true_positives,22525.0,22438.0,25000.0,25000.0
