metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.97706,0.97706,0.82402,0.97706
avg_detection_time,0.00013723482489585875,0.00010331568002700806,0.00010323863863945007,0.0003387136232852936
f1,0.9775744422937808,0.9775744422937808,0.7864372223975146,0.9775744422937808
false_negatives,0,0,35196,0
false_positives,4588,4588,0,4588
precision,0.9561326347190883,0.9561326347190883,1.0,0.9561326347190883
recall,1.0,1.0,0.64804,1.0
sensitivity,1.0,1.0,0.64804,1.0
specificity,0.95412,0.95412,1.0,0.95412
true_negatives,95412,95412,100000,95412
true_positives,100000,100000,64804,100000
