metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6295,0.525,0.572,0.6488333333333334
avg_detection_time,8.229998747507731e-05,3.9815823237101234e-05,4.06565268834432e-05,0.00015562673409779865
f1,0.41143764892772045,0.09523809523809523,0.2517482517482518,0.4587721551502697
false_negatives,2223,2850,2568,2107
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.259,0.05,0.144,0.2976666666666667
sensitivity,0.259,0.05,0.144,0.2976666666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,777,150,432,893
