,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
precision,1.0,1.0,0.9979959919839679,1.0
recall,0.23976608187134502,0.3219452139119729,0.15327793167128348,0.24038165589412128
f1,0.3867924528301887,0.4870779976717112,0.2657417289220918,0.38759305210918116
accuracy,0.6198830409356725,0.6609726069559865,0.5764850723299477,0.6201908279470606
specificity,1.0,1.0,0.9996922129886119,1.0
sensitivity,0.23976608187134502,0.3219452139119729,0.15327793167128348,0.24038165589412128
avg_detection_time,3.107693350179337e-05,7.731736935480223e-05,0.10023481862733606,0.10040468056409606
true_negatives,3249.0,3249.0,3248.0,3249.0
false_positives,0.0,0.0,1.0,0.0
false_negatives,2470.0,2203.0,2751.0,2468.0
true_positives,779.0,1046.0,498.0,781.0
