metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6295,0.525,0.5738333333333333,0.649
avg_detection_time,7.959361871083577e-05,4.037177562713623e-05,4.680931568145752e-05,0.00016343502203623454
f1,0.41143764892772045,0.09523809523809523,0.25733372059250653,0.4591679506933744
false_negatives,2223,2850,2557,2106
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.259,0.05,0.14766666666666667,0.298
sensitivity,0.259,0.05,0.14766666666666667,0.298
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,777,150,443,894
