metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.6295,0.525,0.5725,0.6486666666666666
avg_detection_time,7.916859785715739e-05,3.962850570678711e-05,4.215447107950846e-05,0.00015314869085947673
f1,0.41143764892772045,0.09523809523809523,0.25327510917030566,0.4583761562178828
false_negatives,2223,2850,2565,2108
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.259,0.05,0.145,0.29733333333333334
sensitivity,0.259,0.05,0.145,0.29733333333333334
specificity,1.0,1.0,1.0,1.0
true_negatives,3000,3000,3000,3000
true_positives,777,150,435,892
