metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8925,0.7765,0.8215,0.91575
avg_detection_time,7.832175493240356e-05,4.609394073486328e-05,4.117488861083984e-05,0.0001519373059272766
f1,0.8795518207282913,0.7121699935608501,0.7827145465611686,0.9079989079989079
false_negatives,430,894,714,337
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.785,0.553,0.643,0.8315
sensitivity,0.785,0.553,0.643,0.8315
specificity,1.0,1.0,1.0,1.0
true_negatives,2000,2000,2000,2000
true_positives,1570,1106,1286,1663
