metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8991166666666667,0.75225,0.82525,0.9231833333333334
avg_detection_time,6.747719446818033e-05,3.352158069610596e-05,3.8141733407974244e-05,0.00018685078819592795
f1,0.8877972825180269,0.6706547025589896,0.7882459860648288,0.9167915365312055
false_negatives,12106,29730,20970,9218
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.7982333333333334,0.5045,0.6505,0.8463666666666667
sensitivity,0.7982333333333334,0.5045,0.6505,0.8463666666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,60000,60000,60000,60000
true_positives,47894,30270,39030,50782
