metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8991166666666667,0.75225,0.8253916666666666,0.8979833333333334
avg_detection_time,6.738049189249674e-05,3.262117306391398e-05,3.2831935087839765e-05,0.00019030206004778545
f1,0.8877972825180269,0.6706547025589896,0.7884539662988278,0.8863935856270533
false_negatives,12106,29730,20953,12242
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.7982333333333334,0.5045,0.6507833333333334,0.7959666666666667
sensitivity,0.7982333333333334,0.5045,0.6507833333333334,0.7959666666666667
specificity,1.0,1.0,1.0,1.0
true_negatives,60000,60000,60000,60000
true_positives,47894,30270,39047,47758
