metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8925,0.74325,0.82025,0.916
avg_detection_time,8.188295364379883e-05,3.9649009704589846e-05,3.986412286758423e-05,0.00014529472589492798
f1,0.8795518207282913,0.6545576858392197,0.7808594940566901,0.9082969432314411
false_negatives,430,1027,719,336
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.785,0.4865,0.6405,0.832
sensitivity,0.785,0.4865,0.6405,0.832
specificity,1.0,1.0,1.0,1.0
true_negatives,2000,2000,2000,2000
true_positives,1570,973,1281,1664
