metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.8695,0.75146,0.839865,0.921765
avg_detection_time,6.583226203918457e-05,3.37285852432251e-05,3.476138472557068e-05,0.00015214332342147828
f1,0.8499137435307649,0.6692571793575174,0.8093324522393479,0.9151247877712867
false_negatives,26100,49708,32027,15647
false_positives,0,0,0,0
precision,1.0,1.0,1.0,1.0
recall,0.739,0.50292,0.67973,0.84353
sensitivity,0.739,0.50292,0.67973,0.84353
specificity,1.0,1.0,1.0,1.0
true_negatives,100000,100000,100000,100000
true_positives,73900,50292,67973,84353
